Game ID,Date,Offense Name,Offense ID,Offense Games Played,Offense Home,Offense AVG,Offense OBP,Offense SLG,Offense OPS,Offense Runs,Defense Name,Defense ID,Defense Games Played,Pitcher Name,Pitcher ID,Pitcher Starts,Pitcher ERA,Pitcher WHIP,Pitcher Innings,Pitcher Strikeouts,Pitcher Runs
718726,4/3/2023,Texas Rangers,140,4,True,0.275,0.342,0.443,0.785,0,Baltimore Orioles,110,4,Kyle Bradish,680694,1,0.0,1.2,1.2,2,0
718731,4/3/2023,New York Mets,121,5,False,0.201,0.323,0.308,0.631,0,Milwaukee Brewers,158,4,Freddy Peralta,642547,1,0.0,0.83,6.0,7,0
718731,4/3/2023,Milwaukee Brewers,158,4,True,0.25,0.354,0.333,0.687,10,New York Mets,121,5,Carlos Carrasco,471911,1,11.25,2.0,4.0,4,5
718719,4/3/2023,Toronto Blue Jays,141,4,False,0.294,0.381,0.371,0.752,5,Kansas City Royals,118,4,Brady Singer,663903,1,1.8,1.0,5.0,3,1
718719,4/3/2023,Kansas City Royals,118,4,True,0.179,0.284,0.317,0.601,9,Toronto Blue Jays,141,4,Jose Berrios,621244,1,12.71,1.94,5.2,7,8
718724,4/3/2023,Pittsburgh Pirates,134,4,False,0.212,0.291,0.364,0.655,7,Boston Red Sox,111,4,Kutter Crawford,676710,1,15.75,2.5,4.0,6,7
718724,4/3/2023,Boston Red Sox,111,4,True,0.311,0.391,0.554,0.945,6,Pittsburgh Pirates,134,4,Johan Oviedo,670912,1,7.71,2.14,4.2,4,5
718722,4/3/2023,Arizona Diamondbacks,109,5,False,0.211,0.229,0.335,0.564,4,San Diego Padres,135,5,Ryan Weathers,677960,1,3.6,1.2,5.0,2,2
718722,4/3/2023,San Diego Padres,135,5,True,0.225,0.302,0.411,0.713,5,Arizona Diamondbacks,109,5,Ryne Nelson,669194,1,5.4,1.8,5.0,3,3
718728,4/3/2023,Chicago Cubs,112,4,False,0.241,0.311,0.368,0.679,6,Cincinnati Reds,113,4,Connor Overton,656818,1,11.25,2.25,4.0,5,5
718728,4/3/2023,Cincinnati Reds,113,4,True,0.25,0.333,0.484,0.817,7,Chicago Cubs,112,4,Drew Smyly,592767,1,11.57,2.36,4.2,3,7
718727,4/3/2023,Atlanta Braves,144,4,False,0.268,0.353,0.464,0.817,8,St. Louis Cardinals,138,4,Jake Woodford,663765,1,12.46,2.31,4.1,3,6
718727,4/3/2023,St. Louis Cardinals,138,4,True,0.356,0.409,0.537,0.946,4,Atlanta Braves,144,4,Charlie Morton,450203,1,5.06,2.06,5.1,1,3
